run_accession	biome_class	biome_subclass	biome	accession	sample_accession	sample_name	longitude	latitude	geo_loc_name	geo_loc_name_1	studies	sample_desc	environment_biome	environment_feature	environment_material	study_accession	experiment_accession	read_count	instrument_model	instrument_platform	library_layout	library_strategy	library_selection	library_source	fastq_ftp	query_biome
SRR5209941	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS1945078	SAMN06267191	Gp0125823	-123.8842	46.1869	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004880	Estuarine microbial communities from the Columbia River estuary - metaG 1552A-3		NA	NA	PRJNA367305	SRX2523444	13844281	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/001/SRR5209941/SRR5209941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/001/SRR5209941/SRR5209941_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468263	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138977	SAMN06267167	Gp0125799	-123.8825	46.2311	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003406	Estuarine microbial communities from the Columbia River estuary - metaG 1546A-3		NA	NA	PRJNA367281	SRX2753618	14953127	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468263/SRR5468263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468263/SRR5468263_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468411	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139119	SAMN06266245	Gp0125851	-123.7517	46.2103	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004853	Estuarine microbial communities from the Columbia River estuary - metaG 1563A-3		NA	NA	PRJNA365264	SRX2753760	16426990	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/001/SRR5468411/SRR5468411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/001/SRR5468411/SRR5468411_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468265	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138979	SAMN06267168	Gp0125800	-123.8825	46.2311	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003642	Estuarine microbial communities from the Columbia River estuary - metaG 1546B-3		NA	NA	PRJNA367282	SRX2753620	16190631	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468265/SRR5468265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468265/SRR5468265_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468403	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139111	SAMN06266243	Gp0125847	-123.4651	46.2637	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004851	Estuarine microbial communities from the Columbia River estuary - metaG 1561A-3		NA	NA	PRJNA365260	SRX2753752	15753966	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468403/SRR5468403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468403/SRR5468403_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468372	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139086	SAMN06267189	Gp0125821	-123.8837	46.187	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004886	Estuarine microbial communities from the Columbia River estuary - metaG 1551A-3		NA	NA	PRJNA367303	SRX2753727	15044094	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468372/SRR5468372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468372/SRR5468372_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5209940	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS1945077	SAMN06267184	Gp0125816	-123.8817	46.2322	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004883	Estuarine microbial communities from the Columbia River estuary - metaG 1549B-02		NA	NA	PRJNA367298	SRX2523443	16318551	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/000/SRR5209940/SRR5209940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/000/SRR5209940/SRR5209940_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
ERR2730831	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	ERS2641976	SAMEA4822087	St. Lawrence_S25_surf	68	49	Canada	Canada	MGYS00002708	St. Lawrence estuary sediment microbiome	estuary	surf	sediment	PRJEB28133	ERX2744060	26389404	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/001/ERR2730831/ERR2730831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/001/ERR2730831/ERR2730831_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808824	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339535	SAMN07278985	July vegetated replicate 5	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	July vegetated replicate 5	marsh	saltmarsh	sediment	PRJNA390775	SRX2987392	10859209	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808824/SRR5808824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808824/SRR5808824_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808823	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339536	SAMN07278974	July vegetated replicate 4	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	July vegetated replicate 4	marsh	saltmarsh	sediment	PRJNA390775	SRX2987393	15307090	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808823/SRR5808823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808823/SRR5808823_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808828	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339531	SAMN07278951	September vegetated replicate 2	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	September vegetated replicate 2	marsh	saltmarsh	sediment	PRJNA390775	SRX2987388	10043337	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808828/SRR5808828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808828/SRR5808828_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808812	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339548	SAMN07258893	August subtidal replicate 1	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	August subtidal replicate 1	subtidal zone	saltmarsh	sediment	PRJNA390775	SRX2987404	12481554	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808812/SRR5808812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808812/SRR5808812_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808811	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339547	SAMN07258899	August subtidal replicate 2	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	August subtidal replicate 2	subtidal zone	saltmarsh	sediment	PRJNA390775	SRX2987405	10173918	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/001/SRR5808811/SRR5808811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/001/SRR5808811/SRR5808811_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5808813	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2339546	SAMN07258975	August subtidal replicate 4	-88.8412	29.8628	USA: Chandeleur Islands	USA: Chandeleur Islands	MGYS00003654	August subtidal replicate 4	subtidal zone	saltmarsh	sediment	PRJNA390775	SRX2987403	11624987	HiSeq X Ten	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808813/SRR5808813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808813/SRR5808813_2.fastq.gz	root:Environmental:Aquatic:Estuary:Sediment
SRR5204552	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS1941099	SAMN06267774	Gp0091318	-123.5	48.6	Canada: Saanich Inlet, British Columbia	Canada: Saanich Inlet, British Columbia	MGYS00003272	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S4LV_200m_DNA		NA	NA	PRJNA366996	SRX2518460	42791620	Illumina HiSeq 2000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/002/SRR5204552/SRR5204552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/002/SRR5204552/SRR5204552_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5271171	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS1990973	SAMN06267773	Gp0091308	-123.5	48.6	Canada:Saanich Inlet, British Columbia, Canada	Canada:Saanich Inlet, British Columbia, Canada	MGYS00003563	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S2LV_130m_DNA		NA	NA	PRJNA366995	SRX2575219	91018694	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5271171/SRR5271171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5271171/SRR5271171_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5265132	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS1985499	SAMN06267865	Gp0088402	-123.5	48.6	Pacific Ocean:Saanich Inlet, British Columbia, Canada	Pacific Ocean:Saanich Inlet, British Columbia, Canada	MGYS00003551	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - ESP_90LU_22_DNA		NA	NA	PRJNA365958	SRX2569216	36155968	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR526/002/SRR5265132/SRR5265132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR526/002/SRR5265132/SRR5265132_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468408	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139116	SAMN06266270	Gp0125844	-124.0055	46.2763	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003304	Estuarine microbial communities from the Columbia River estuary - metaG 1558A-02		NA	NA	PRJNA365257	SRX2753757	15394318	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468408/SRR5468408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468408/SRR5468408_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468367	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139080	SAMN06267182	Gp0125814	-123.8817	46.2322	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003319	Estuarine microbial communities from the Columbia River estuary - metaG 1549B-3		NA	NA	PRJNA367296	SRX2753721	15598280	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468367/SRR5468367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468367/SRR5468367_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468388	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139101	SAMN06266269	Gp0125842	-124.0055	46.2763	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003573	Estuarine microbial communities from the Columbia River estuary - metaG 1557A-02		NA	NA	PRJNA365255	SRX2753742	11566395	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468388/SRR5468388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468388/SRR5468388_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468405	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139113	SAMN06264703	Gp0125846	-123.4649	46.2638	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003302	Estuarine microbial communities from the Columbia River estuary - metaG 1560A-02		NA	NA	PRJNA365259	SRX2753754	17211497	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468405/SRR5468405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468405/SRR5468405_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468415	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139123	SAMN06266240	Gp0125856	-123.7318	46.2861	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003558	Estuarine microbial communities from the Columbia River estuary - metaG 1569-02		NA	NA	PRJNA365269	SRX2753764	15173498	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468415/SRR5468415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468415/SRR5468415_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468373	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139087	SAMN06267192	Gp0125824	-123.8842	46.1869	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003295	Estuarine microbial communities from the Columbia River estuary - metaG 1552A-02		NA	NA	PRJNA367306	SRX2753728	15289512	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468373/SRR5468373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468373/SRR5468373_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468274	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138987	SAMN06267176	Gp0125808	-123.8828	46.2314	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003289	Estuarine microbial communities from the Columbia River estuary - metaG 1547B-02		NA	NA	PRJNA367290	SRX2753628	16153166	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/004/SRR5468274/SRR5468274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/004/SRR5468274/SRR5468274_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468272	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138985	SAMN06267175	Gp0125807	-123.8828	46.2314	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003561	Estuarine microbial communities from the Columbia River estuary - metaG 1547A-02		NA	NA	PRJNA367289	SRX2753626	15436972	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468272/SRR5468272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468272/SRR5468272_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468276	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138989	SAMN06267178	Gp0125810	-123.8812	46.2319	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003549	Estuarine microbial communities from the Columbia River estuary - metaG 1548B-3		NA	NA	PRJNA367292	SRX2753630	15280102	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/006/SRR5468276/SRR5468276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/006/SRR5468276/SRR5468276_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
SRR5468407	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139115	SAMN06264511	Gp0125848	-123.4651	46.2637	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003303	Estuarine microbial communities from the Columbia River estuary - metaG 1561A-02		NA	NA	PRJNA365261	SRX2753756	16895856	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468407/SRR5468407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468407/SRR5468407_2.fastq.gz	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
